[2021-08-19 14:59:59,545][SpringContextShutdownHook][manage-tax][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:218][shutdown][INFO ][][] =>Shutting down ExecutorService 'applicationTaskExecutor'
[2021-08-19 15:00:17,022][main][manage-tax][com.zt.javastudy.JavaStudyApplication:55][logStarting][INFO ][][] =>Starting JavaStudyApplication using Java 1.8.0_212 on jl-zhengtao with PID 15620 (D:\item\java-study\target\classes started by zhengtao in D:\item\java-study)
[2021-08-19 15:00:17,023][main][manage-tax][com.zt.javastudy.JavaStudyApplication:664][logStartupProfileInfo][INFO ][][] =>The following profiles are active: dev
[2021-08-19 15:00:19,026][main][manage-tax][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:108][initialize][INFO ][][] =>Tomcat initialized with port(s): 19003 (http)
[2021-08-19 15:00:19,035][main][manage-tax][org.apache.coyote.http11.Http11NioProtocol:173][log][INFO ][][] =>Initializing ProtocolHandler ["http-nio-19003"]
[2021-08-19 15:00:19,035][main][manage-tax][org.apache.catalina.core.StandardService:173][log][INFO ][][] =>Starting service [Tomcat]
[2021-08-19 15:00:19,035][main][manage-tax][org.apache.catalina.core.StandardEngine:173][log][INFO ][][] =>Starting Servlet engine: [Apache Tomcat/9.0.39]
[2021-08-19 15:00:19,237][main][manage-tax][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173][log][INFO ][][] =>Initializing Spring embedded WebApplicationContext
[2021-08-19 15:00:19,238][main][manage-tax][org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:289][prepareWebApplicationContext][INFO ][][] =>Root WebApplicationContext: initialization completed in 2151 ms
[2021-08-19 15:00:19,575][main][manage-tax][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:181][initialize][INFO ][][] =>Initializing ExecutorService 'applicationTaskExecutor'
[2021-08-19 15:00:19,793][main][manage-tax][org.thymeleaf.templatemode.TemplateMode:150][parse][WARN ][][] =>[THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
[2021-08-19 15:00:20,402][main][manage-tax][org.yeauty.standard.ServerEndpointExporter:77][init][INFO ][][] =>[34mNetty WebSocket started on port: 8086 with context path(s): '/imserver/{clientOrderId}' .[0m
[2021-08-19 15:00:20,410][main][manage-tax][org.apache.coyote.http11.Http11NioProtocol:173][log][INFO ][][] =>Starting ProtocolHandler ["http-nio-19003"]
[2021-08-19 15:00:20,448][main][manage-tax][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:220][start][INFO ][][] =>Tomcat started on port(s): 19003 (http) with context path ''
[2021-08-19 15:00:20,512][main][manage-tax][com.zt.javastudy.JavaStudyApplication:61][logStarted][INFO ][][] =>Started JavaStudyApplication in 4.441 seconds (JVM running for 6.417)
[2021-08-19 15:00:20,514][main][manage-tax][com.zt.javastudy.JavaStudyApplication:34][main][INFO ][][] =>java-study ok.....
[2021-08-19 15:00:20,514][main][manage-tax][com.zt.javastudy.JavaStudyApplication:35][main][ERROR][][] =>slf4j ok.........
[2021-08-19 15:00:28,975][http-nio-19003-exec-1][manage-tax][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173][log][INFO ][][] =>Initializing Spring DispatcherServlet 'dispatcherServlet'
[2021-08-19 15:00:28,975][http-nio-19003-exec-1][manage-tax][org.springframework.web.servlet.DispatcherServlet:525][initServletBean][INFO ][][] =>Initializing Servlet 'dispatcherServlet'
[2021-08-19 15:00:28,976][http-nio-19003-exec-1][manage-tax][org.springframework.web.servlet.DispatcherServlet:547][initServletBean][INFO ][][] =>Completed initialization in 1 ms
