[2021-08-23 17:33:54,037][SpringContextShutdownHook][manage-tax][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:218][shutdown][INFO ][][] =>Shutting down ExecutorService 'applicationTaskExecutor'
[2021-08-23 17:34:11,077][main][manage-tax][com.zt.javastudy.JavaStudyApplication:55][logStarting][INFO ][][] =>Starting JavaStudyApplication using Java 1.8.0_212 on jl-zhengtao with PID 5468 (D:\item\java-study\target\classes started by zhengtao in D:\item\java-study)
[2021-08-23 17:34:11,078][main][manage-tax][com.zt.javastudy.JavaStudyApplication:664][logStartupProfileInfo][INFO ][][] =>The following profiles are active: dev
[2021-08-23 17:34:13,173][main][manage-tax][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:108][initialize][INFO ][][] =>Tomcat initialized with port(s): 19003 (http)
[2021-08-23 17:34:13,189][main][manage-tax][org.apache.coyote.http11.Http11NioProtocol:173][log][INFO ][][] =>Initializing ProtocolHandler ["http-nio-19003"]
[2021-08-23 17:34:13,190][main][manage-tax][org.apache.catalina.core.StandardService:173][log][INFO ][][] =>Starting service [Tomcat]
[2021-08-23 17:34:13,190][main][manage-tax][org.apache.catalina.core.StandardEngine:173][log][INFO ][][] =>Starting Servlet engine: [Apache Tomcat/9.0.39]
[2021-08-23 17:34:13,359][main][manage-tax][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173][log][INFO ][][] =>Initializing Spring embedded WebApplicationContext
[2021-08-23 17:34:13,360][main][manage-tax][org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext:289][prepareWebApplicationContext][INFO ][][] =>Root WebApplicationContext: initialization completed in 2218 ms
[2021-08-23 17:34:13,756][main][manage-tax][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:181][initialize][INFO ][][] =>Initializing ExecutorService 'applicationTaskExecutor'
[2021-08-23 17:34:14,085][main][manage-tax][org.thymeleaf.templatemode.TemplateMode:150][parse][WARN ][][] =>[THYMELEAF][main] Template Mode 'HTML5' is deprecated. Using Template Mode 'HTML' instead.
[2021-08-23 17:34:14,927][main][manage-tax][org.yeauty.standard.ServerEndpointExporter:77][init][INFO ][][] =>[34mNetty WebSocket started on port: 8086 with context path(s): '/imserver/{clientOrderId}' .[0m
[2021-08-23 17:34:14,934][main][manage-tax][org.apache.coyote.http11.Http11NioProtocol:173][log][INFO ][][] =>Starting ProtocolHandler ["http-nio-19003"]
[2021-08-23 17:34:14,961][main][manage-tax][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:220][start][INFO ][][] =>Tomcat started on port(s): 19003 (http) with context path ''
[2021-08-23 17:34:14,986][main][manage-tax][com.zt.javastudy.JavaStudyApplication:61][logStarted][INFO ][][] =>Started JavaStudyApplication in 4.747 seconds (JVM running for 6.27)
[2021-08-23 17:34:14,988][main][manage-tax][com.zt.javastudy.JavaStudyApplication:34][main][INFO ][][] =>java-study ok.....
[2021-08-23 17:34:14,988][main][manage-tax][com.zt.javastudy.JavaStudyApplication:35][main][ERROR][][] =>slf4j ok.........
[2021-08-23 17:34:27,494][http-nio-19003-exec-1][manage-tax][org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/]:173][log][INFO ][][] =>Initializing Spring DispatcherServlet 'dispatcherServlet'
[2021-08-23 17:34:27,494][http-nio-19003-exec-1][manage-tax][org.springframework.web.servlet.DispatcherServlet:525][initServletBean][INFO ][][] =>Initializing Servlet 'dispatcherServlet'
[2021-08-23 17:34:27,495][http-nio-19003-exec-1][manage-tax][org.springframework.web.servlet.DispatcherServlet:547][initServletBean][INFO ][][] =>Completed initialization in 1 ms
[2021-08-23 17:35:47,571][SpringContextShutdownHook][manage-tax][org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor:218][shutdown][INFO ][][] =>Shutting down ExecutorService 'applicationTaskExecutor'
[2021-08-23 17:35:57,337][main][manage-tax][com.zt.javastudy.JavaStudyApplication:55][logStarting][INFO ][][] =>Starting JavaStudyApplication using Java 1.8.0_212 on jl-zhengtao with PID 33276 (D:\item\java-study\target\classes started by zhengtao in D:\item\java-study)
[2021-08-23 17:35:57,338][main][manage-tax][com.zt.javastudy.JavaStudyApplication:664][logStartupProfileInfo][INFO ][][] =>The following profiles are active: dev
[2021-08-23 17:35:58,586][main][manage-tax][org.springframework.boot.web.embedded.tomcat.TomcatWebServer:108][initialize][INFO ][][] =>Tomcat initialized with port(s): 19003 (http)
[2021-08-23 17:35:58,602][main][manage-tax][org.apache.coyote.http11.Http11NioProtocol:173][log][INFO ][][] =>Initializing ProtocolHandler ["http-nio-19003"]
[2021-08-23 17:35:58,602][main][manage-tax][org.apache.catalina.core.StandardService:173][log][INFO ][][] =>Starting service [Tomcat]
